SFV70_2	SFV70_3	100.000	4952	0	0	133164	138115	78195	83146	0.0	8931	10	2	243736	172207
SFV70_2	SFV70_3	100.000	2586	0	0	123485	126070	78194	75609	0.0	4664	10	1	243736	172207
SFV70_2	SFV70_3	100.000	2265	0	0	117676	119940	72455	70191	0.0	4085	10	1	243736	172207
SFV70_2	SFV70_3	100.000	1954	0	0	191104	193057	61631	63584	0.0	3525	10	1	243736	172207
SFV70_2	SFV70_3	100.000	1584	0	0	147272	148855	69370	67787	0.0	2857	10	1	243736	172207
SFV70_2	SFV70_3	99.724	1447	4	0	99740	101186	83147	81701	0.0	2592	10	1	243736	172207
SFV70_2	SFV70_3	100.000	1071	0	0	112867	113937	103181	104251	0.0	1932	10	0	243736	172207
SFV70_2	SFV70_3	100.000	1070	0	0	9075	10144	103182	104251	0.0	1930	10	0	243736	172207
SFV70_2	SFV70_3	100.000	1070	0	0	232900	233969	104251	103182	0.0	1930	10	0	243736	172207
SFV70_2	SFV70_3	100.000	1070	0	0	63810	64879	103182	104251	0.0	1930	10	0	243736	172207
SFV70_2	SFV70_3	100.000	936	0	0	193058	193993	34064	34999	0.0	1689	10	0	243736	172207
SFV70_2	SFV70_3	100.000	821	0	0	126638	127458	69370	70190	0.0	1481	10	0	243736	172207
SFV70_2	SFV70_3	99.519	832	2	1	101177	102006	69359	70190	0.0	1480	10	0	243736	172207
SFV70_2	SFV70_3	100.000	820	0	0	93888	94707	69371	70190	0.0	1480	10	0	243736	172207
SFV70_2	SFV70_3	100.000	820	0	0	143514	144333	70190	69371	0.0	1480	10	0	243736	172207
SFV70_2	SFV70_3	99.685	635	2	0	120613	121247	83773	83139	0.0	1137	10	0	243736	172207
SFV70_2	SFV70_3	98.829	427	5	0	190678	191104	33643	34069	0.0	747	10	0	243736	172207
SFV70_2	SFV70_3	98.039	51	1	0	102007	102057	83727	83777	1.51e-16	87.8	10	0	243736	172207
SFV70_2	SFV70_3	100.000	40	0	0	138076	138115	78232	78193	3.32e-12	73.4	10	0	243736	172207
SFV70_2	SFV70_3	97.619	42	1	0	99739	99780	78191	78232	1.16e-11	71.6	10	0	243736	172207
SFV70_2	SFV70_3	100.000	38	0	0	133164	133201	83144	83107	4.04e-11	69.8	10	0	243736	172207
