bootstrap	Sample1	Sample2	Sample1_length	Sample2_length	DistanceScore_d0	DistanceScore_d1	DistanceScore_d2	DistanceScore_d3	DistanceScore_d4	DistanceScore_d5	DistanceScore_d6	DistanceScore_d7	DistanceScore_d8	DistanceScore_d9	Percent_identity	Coverage_breadth_mingenome	Breakpoint_distance	Breakpoints	Alignments
1	RB5_2	SFV70_3	238932	172207	0.974067164632886	0.969043070258468	3.65224533843248	3.4751584037333	0.0678109172763084	0.0702196064147008	0.975825693986705	0.9711422880603	3.72246494484718	3.54537801014801	0.932189082723692	0.030956929741532	0.85	17	20
1	RB5_3	SFV70_3	95876	172207	0.992032318349168	0.988860611623347	4.83236171295784	4.49726794934274	0.0028089887640449	0.00281294137661461	0.992054699477401	0.988891902040135	4.83517465433445	4.50008089071936	0.997191011235955	0.0111393883766532	0	0	2
1	RB5_4	SFV70_3	72280	172207	0.940851660824502	0.899965412285556	2.82770676713456	2.30223927565132	0.11824908374248	0.12584567073125	0.947845897736894	0.911794410625346	2.95355243786581	2.42808494638257	0.88175091625752	0.100034587714444	0.555555555555556	10	18
1	RB5_5	SFV70_3	50517	172207	0.988438605628491	0.974513530098779	4.4600838026392	3.66960755974053	0.000388349514563124	0.000388424941764565	0.988443095490383	0.974523427756993	4.46047222758096	3.66999598468229	0.999611650485437	0.0254864699012214	0.5	2	4
1	RB5_6	SFV70_3	33303	172207	0.991990657388935	0.975287511635588	4.82714659229795	3.70044656132369	0	0	0.991990657388935	0.975287511635588	4.82714659229795	3.70044656132369	1	0.0247124883644116	0	0	2
1	RB5_7	SFV70_3	25736	172207	0.990845849562753	0.964796394156046	4.69354790284082	3.34660676287588	0.0110375275938189	0.0110988930680488	0.990946888750802	0.965184954926951	4.70464679590887	3.35770565594393	0.988962472406181	0.035203605843954	0.5	2	4
1	SFV70_2	SFV70_3	243736	172207	0.919049004310687	0.902236842869337	2.51391129888086	2.32520748937223	0.000742478690861526	0.000742754464677288	0.91910910869999	0.902309429930258	2.51465405334553	2.32595024383691	0.999257521309138	0.0977631571306625	0.791666666666667	19	24
1	SFV70_3	SFV70_4	172207	99518	0.922340601711289	0.893978978677224	2.55542270272935	2.24411789016595	0.0520803715287651	0.0534855604147846	0.926385132026865	0.899500592857573	2.60890826314413	2.29760345058074	0.947919628471235	0.106021021322776	0.875	21	24
1	SFV70_3	SFV131_2	172207	421101	0.572264321397992	0.263157130662517	0.849249847537113	0.305380612593706	4.72852363671006e-05	4.72863543491326e-05	0.572284546980658	0.263191972451759	0.849297133891462	0.305427898948055	0.999952714763633	0.736842869337483	0.8	8	10
1	SFV70_3	SFV131_3	172207	103447	0.905468449578094	0.874051446634509	2.35882163330512	2.07188176203359	0.0565277457978356	0.0581883219168371	0.910812105030219	0.881171034442758	2.41700995522196	2.13007008395043	0.943472254202164	0.125948553365492	0.818181818181818	18	22
