Sample1	Sample2	Sample1_length	Sample2_length	DistanceScore_d0	DistanceScore_d1	DistanceScore_d2	DistanceScore_d3	DistanceScore_d4	DistanceScore_d5	DistanceScore_d6	DistanceScore_d7	DistanceScore_d8	DistanceScore_d9	Percent_identity	Coverage_breadth_mingenome	Breakpoint_distance	Breakpoints	Alignments	l10	l20	l30	l40	l50	l60	l70	l80	l90	n10	n20	n30	n40	n50	n60	n70	n80	n90
RB5_2	SFV70_3	238932	172207	0.968910757675628	0.962887687492378	3.47089342560496	3.29380649090578	0.0946643717728055	0.0994495441142014	0.971853801269157	0.966400901240948	3.57034296971916	3.39325603501999	0.905335628227194	0.0371123125076216	0.7	14	20	2	2	2	4	4	6	8	10	12	4530	4530	4530	2116	2116	1642	1568	1542	849
RB5_3	SFV70_3	95876	172207	0.992032318349168	0.988860611623347	4.83236171295784	4.49726794934274	0.0028089887640449	0.00281294137661461	0.992054699477401	0.988891902040135	4.83517465433445	4.50008089071936	0.997191011235955	0.0111393883766532	0	0	2	2	2	2	2	2	2	2	2	2	2136	2136	2136	2136	2136	2136	2136	2136	2136
RB5_4	SFV70_3	72280	172207	0.901745287070478	0.833826784726065	2.32019206063492	1.79472456915167	0.0652318707851136	0.0674567705925972	0.908154625808325	0.844666574432761	2.38764883122751	1.86218133974427	0.934768129214886	0.166173215273935	0.777777777777778	14	18	2	2	2	2	4	4	6	10	12	10653	10653	10653	10653	4237	4237	2520	1642	1452
RB5_5	SFV70_3	50517	172207	0.991621917709811	0.981530969772552	4.78213623432974	3.99165999143107	0.00107181136120038	0.00107238616175259	0.991630897433595	0.98155076508898	4.7832086204915	3.99273237759283	0.9989281886388	0.0184690302274482	0.5	2	4	2	2	2	2	2	2	2	2	4	1642	1642	1642	1642	1642	1642	1642	1642	224
RB5_6	SFV70_3	33303	172207	0.991990657388935	0.975287511635588	4.82714659229795	3.70044656132369	0	0	0.991990657388935	0.975287511635588	4.82714659229795	3.70044656132369	1	0.0247124883644116	0	0	2	2	2	2	2	2	2	2	2	2	1646	1646	1646	1646	1646	1646	1646	1646	1646
RB5_7	SFV70_3	25736	172207	0.991654163067146	0.967904880323283	4.78599243536282	3.43905129539788	0.0532687651331719	0.054740032975667	0.992098735494562	0.969614547715263	4.84073246833848	3.49379132837355	0.946731234866828	0.0320951196767174	0	0	4	2	2	2	2	2	4	4	4	4	906	906	906	906	906	746	746	746	746
SFV70_2	SFV70_3	243736	172207	0.917257893509447	0.900073748453896	2.49202665911713	2.3033228496085	0.000639237563923811	0.000639441963366553	0.917310785372034	0.900137625067506	2.49266610108049	2.30396229157187	0.999360762436076	0.0999262515461044	0.75	18	24	2	2	4	4	6	8	10	12	16	9904	9904	5172	5172	4530	3908	3168	2142	1618
SFV70_3	SFV70_4	172207	99518	0.891132578894102	0.851373620852509	2.21762445720007	1.90631964463668	0.0558109661280508	0.0574288851378311	0.897208574845892	0.859668602664845	2.2750533423379	1.96374852977451	0.944189033871949	0.148626379147491	0.833333333333333	20	24	2	2	2	4	4	6	8	12	16	10653	10653	10653	4237	4237	3908	2520	1642	1369
SFV70_3	SFV131_2	172207	421101	0.419508922852886	1.16139297473561e-05	0.543880848940596	1.16139971895604e-05	4.64562585290595e-05	4.64573376544594e-05	0.41953589029644	5.80696487366694e-05	0.54392730627825	5.80713348439964e-05	0.999953543741471	0.999988386070253	0.6	6	10	2	2	2	2	4	4	4	4	6	144910	144910	144910	144910	135912	135912	135912	135912	49970
SFV70_3	SFV131_3	172207	103447	0.906861500286591	0.875907469525458	2.37366764942312	2.08672777815159	0.0643063020955051	0.0664671018896767	0.912850892785884	0.883887401277949	2.4401347513128	2.15319488004127	0.935693697904495	0.124092530474543	0.909090909090909	20	22	2	2	2	2	4	6	8	10	14	10653	10653	10653	10653	4237	2520	1694	1642	1369
