Sample1	Sample2	Sample1_length	Sample2_length	DistanceScore_d0	DistanceScore_d1	DistanceScore_d2	DistanceScore_d3	DistanceScore_d4	DistanceScore_d5	DistanceScore_d6	DistanceScore_d7	DistanceScore_d8	DistanceScore_d9	Percent_identity	Coverage_breadth_mingenome	Breakpoint_distance	Breakpoints	Alignments	l10	l20	l30	l40	l50	l60	l70	l80	l90	n10	n20	n30	n40	n50	n60	n70	n80	n90
RB5_2	SFV131_3	238932	103447	0.994760192652003	0.991328893056348	5.25147054697441	4.74775882117772	0.00557413600891865	0.00558972947878677	0.994789400050821	0.991377226985799	5.2570602764532	4.75334855065651	0.994425863991081	0.00867110694365231	0.666666666666667	4	6	2	2	2	2	2	2	2	2	2	73113	73113	73113	73113	73113	73113	73113	73113	73113
RB5_4	SFV131_3	72280	103447	0.177360337341444	0	0.19523700813306	0	2.76701715550276e-05	2.76705543812865e-05	0.177383099922038	2.76701715550276e-05	0.195264678687442	2.76705543812865e-05	0.999972329828445	1	0	0	2	2	2	2	2	2	2	2	2	2	73110	73110	73110	73110	73110	73110	73110	73110	73110
RB5_5	SFV131_3	50517	103447	0.989205268764127	0.983550092048221	4.52869711241902	4.10743539742297	0.00481347773766549	0.00482509983175691	0.989257228962615	0.983629273313934	4.53352221225078	4.11226049725473	0.995186522262335	0.0164499079517786	0	0	2	2	2	2	2	2	2	2	2	2	1653	1653	1653	1653	1653	1653	1653	1653	1653
RB5_6	SFV131_3	33303	103447	0.98799268738574	0.97534756628532	4.42223943027185	3.70287965254833	0.00121802679658956	0.00121876919412945	0.98800731261426	0.975377593610185	4.42345819946598	3.70409842174246	0.99878197320341	0.0246524337146804	0	0	2	2	2	2	2	2	3	3	3	3	15827	15827	15827	15827	15827	11551	11551	11551	11551
RB5_7	SFV131_3	25736	103447	0.601557480473437	0	0.920192033247193	0	0	0	0.601557480473437	0	0.920192033247193	0	1	1	0	0	4	2	2	2	2	2	3	3	3	3	16879	16879	16879	16879	16879	12603	12603	12603	12603
RB5_11	SFV131_3	1873	103447	0.964432206608431	0	3.33631473060621	0	0	0	0.964432206608431	0	3.33631473060621	0	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2706	2706	2706	2706	2706	2706	2706	2706	2706
SFV70_2	SFV131_3	243736	103447	0.980667256173257	0.967558266551954	3.94595504928892	3.42830961564942	0.0797079856972587	0.083064252451143	0.982208230241688	0.970144131777625	4.02901930174006	3.51137386810057	0.920292014302741	0.0324417334480459	0.5	2	4	2	2	2	2	2	2	2	4	4	5058	5058	5058	5058	5058	5058	5058	1654	1654
SFV70_3	SFV131_3	172207	103447	0.906861500286591	0.875907469525458	2.37366764942312	2.08672777815159	0.0643063020955051	0.0664671018896767	0.912850892785884	0.883887401277949	2.4401347513128	2.15319488004127	0.935693697904495	0.124092530474543	0.909090909090909	20	22	2	2	2	2	4	6	8	10	14	10653	10653	10653	10653	4237	2520	1694	1642	1369
SFV70_4	SFV131_3	99518	103447	0.0390362870445643	0.0200667215981029	0.039818630396522	0.0202707928986603	6.1525209954727e-05	6.15271027080921e-05	0.0390954105387629	0.0201270121987982	0.0398801574992302	0.0203323200013684	0.999938474790045	0.979933278401897	0	0	10	2	2	2	2	4	4	4	6	6	91916	91916	91916	91916	55952	55952	55952	31174	31174
SFV131_2	SFV131_3	421101	103447	0.938274476311034	0.843504403220973	2.78505775955899	1.85472740499501	0.0673914386311694	0.0697697145419357	0.942434248152695	0.854050866627355	2.85482747410093	1.92449711953695	0.932608561368831	0.156495596779027	0.9	27	30	2	2	2	4	6	6	10	14	18	10653	10653	10653	5058	4237	4237	1694	1642	1369
