Sample1	Sample2	Sample1_length	Sample2_length	DistanceScore_d0	DistanceScore_d1	DistanceScore_d2	DistanceScore_d3	DistanceScore_d4	DistanceScore_d5	DistanceScore_d6	DistanceScore_d7	DistanceScore_d8	DistanceScore_d9	Percent_identity	Coverage_breadth_mingenome	Breakpoint_distance	Breakpoints	Alignments	l10	l20	l30	l40	l50	l60	l70	l80	l90	n10	n20	n30	n40	n50	n60	n70	n80	n90
RB5_2	SFV131_2	238932	421101	0.896303669665002	0.85677305676929	2.26628855169201	1.94332489110134	0.188156568239265	0.208447775440896	0.91581481531984	0.88372214688698	2.4747363271329	2.15177266654223	0.811843431760735	0.14322694323071	0.842105263157895	32	38	2	2	2	4	4	6	8	10	16	23149	23149	23149	16420	16420	7770	4957	4199	1636
RB5_3	SFV131_2	95876	421101	0.988529470363285	0.969074638074179	4.46797417308173	3.47617865743106	0.0013490725126476	0.0013499833302346	0.988544944939523	0.969116358629897	4.46932415641197	3.47752864076129	0.998650927487352	0.0309253619258209	0	0	2	2	2	2	2	2	2	2	2	2	5930	5930	5930	5930	5930	5930	5930	5930	5930
RB5_4	SFV131_2	72280	421101	0.951307407459955	0.833812949640288	3.02222836436308	1.79464131560294	0.0651431901431901	0.0673619059594435	0.954479398274356	0.844638904261206	3.08959027032252	1.86200322156239	0.93485680985681	0.166187050359712	0.7	14	20	2	2	2	2	4	4	6	10	12	10653	10653	10653	10653	4237	4237	2520	1642	1452
RB5_5	SFV131_2	50517	421101	0.992279768795932	0.963962626442584	4.86391096668047	3.32319872466293	0.0678385059049712	0.0702492023812619	0.992803497746057	0.966407348021458	4.93416016906174	3.39344792704419	0.932161494095029	0.0360373735574163	0.75	6	8	2	2	2	2	4	4	4	4	4	1775	1775	1775	1775	1652	1652	1652	1652	1652
RB5_6	SFV131_2	33303	421101	0.984925308756085	0.897156412335225	4.19473801791096	2.27454601130443	0.000291970802919761	0.000292013434692997	0.984929710125791	0.897186439660091	4.19503003134566	2.27483802473912	0.99970802919708	0.102843587664775	0.5	2	4	2	2	2	2	2	2	2	4	4	5204	5204	5204	5204	5204	5204	5204	1646	1646
RB5_7	SFV131_2	25736	421101	0.984983338443325	0.869637861361517	4.19859492388397	2.03743901951308	0.0922503725782414	0.0967866791292429	0.98636863106681	0.881663817221013	4.29538160301321	2.13422569864232	0.907749627421759	0.130362138638483	0.666666666666667	4	6	2	2	2	2	2	2	2	4	6	5058	5058	5058	5058	5058	5058	5058	906	746
SFV70_2	SFV131_2	243736	421101	0.277048359221884	0.0140049069485016	0.324412945950973	0.0141039010130835	0.000212214836313729	0.00021223735706832	0.277201780285995	0.0142141497357797	0.324625183308042	0.0143161383701518	0.999787785163686	0.985995093051498	0.615384615384615	16	26	2	2	4	4	6	6	8	10	14	111976	111976	101358	101358	93530	93530	55517	40880	13340
SFV70_3	SFV131_2	172207	421101	0.419508922852886	1.16139297473561e-05	0.543880848940596	1.16139971895604e-05	4.64562585290595e-05	4.64573376544594e-05	0.41953589029644	5.80696487366694e-05	0.54392730627825	5.80713348439964e-05	0.999953543741471	0.999988386070253	0.6	6	10	2	2	2	2	4	4	4	4	6	144910	144910	144910	144910	135912	135912	135912	135912	49970
SFV70_4	SFV131_2	99518	421101	0.93029451479873	0.817671175063807	2.66347626701988	1.70194349166088	0.0601267566822816	0.0620102603451758	0.934485679546847	0.828634015956912	2.72548652736505	1.76395375200605	0.939873243317718	0.182328824936192	0.84375	27	32	2	2	4	4	6	8	10	14	18	10653	10653	5058	5058	4237	3912	2520	1642	1452
SFV131_2	SFV131_3	421101	103447	0.938274476311034	0.843504403220973	2.78505775955899	1.85472740499501	0.0673914386311694	0.0697697145419357	0.942434248152695	0.854050866627355	2.85482747410093	1.92449711953695	0.932608561368831	0.156495596779027	0.9	27	30	2	2	2	4	6	6	10	14	18	10653	10653	10653	5058	4237	4237	1694	1642	1369
