Sample1	Sample2	Sample1_length	Sample2_length	DistanceScore_d0	DistanceScore_d1	DistanceScore_d2	DistanceScore_d3	DistanceScore_d4	DistanceScore_d5	DistanceScore_d6	DistanceScore_d7	DistanceScore_d8	DistanceScore_d9	Percent_identity	Coverage_breadth_mingenome	Breakpoint_distance	Breakpoints	Alignments	l10	l20	l30	l40	l50	l60	l70	l80	l90	n10	n20	n30	n40	n50	n60	n70	n80	n90
RB5_2	SFV70_2	238932	243736	0.848247656774429	0.846722079922321	1.88550540780708	1.87550253428224	0.24107801108593	0.275856288273264	0.884831809856879	0.883674016038036	2.16136169608034	2.15135882255551	0.75892198891407	0.153277920077679	0.6	12	20	2	2	2	2	4	4	4	6	10	30981	30981	30981	30981	23149	23149	23149	5858	4199
RB5_3	SFV70_2	95876	243736	0.982538897329894	0.969074638074179	4.04777957649231	3.47617865743106	0.0013490725126476	0.0013499833302346	0.982562453623547	0.969116358629897	4.04912955982255	3.47752864076129	0.998650927487352	0.0309253619258209	0	0	2	2	2	2	2	2	2	2	2	2	5930	5930	5930	5930	5930	5930	5930	5930	5930
RB5_4	SFV70_2	72280	243736	0.994804060553896	0.988641394576646	5.25987783418627	4.47777963525374	0.00121802679658956	0.00121876919412945	0.994810389347375	0.988655229662424	5.26109660338039	4.47899840444787	0.99878197320341	0.0113586054233536	0	0	2	2	2	2	2	2	2	2	2	2	1642	1642	1642	1642	1642	1642	1642	1642	1642
RB5_5	SFV70_2	50517	243736	0.993665315221935	0.98155076508898	5.06171522523708	3.99273237759283	0.00107296137339052	0.00107353740852408	0.993672112094014	0.981570560405408	5.0627887626456	3.99380591500135	0.998927038626609	0.0184492349110201	0	0	6	2	2	2	2	2	2	2	2	4	1642	1642	1642	1642	1642	1642	1642	1642	220
RB5_6	SFV70_2	33303	243736	0.97528867776739	0.897216466984956	3.70049375039259	2.27513012347057	0.000292141396435852	0.00029218407804652	0.975295896967575	0.897246494309822	3.70078593447064	2.27542230754862	0.999707858603564	0.102783533015044	0.5	2	4	2	2	2	2	2	2	2	4	4	5204	5204	5204	5204	5204	5204	5204	1642	1642
RB5_7	SFV70_2	25736	243736	0.981229960812255	0.901732981038234	3.97549334059981	2.3200668222489	0.104982206405694	0.110911679793952	0.983200480940506	0.912049269505751	4.08640502039376	2.43097850204285	0.895017793594306	0.0982670189617656	0	0	2	2	2	2	2	2	2	2	2	2	5058	5058	5058	5058	5058	5058	5058	5058	5058
SFV70_2	SFV70_3	243736	172207	0.917257893509447	0.900073748453896	2.49202665911713	2.3033228496085	0.000639237563923811	0.000639441963366553	0.917310785372034	0.900137625067506	2.49266610108049	2.30396229157187	0.999360762436076	0.0999262515461044	0.75	18	24	2	2	4	4	6	8	10	12	16	9904	9904	5172	5172	4530	3908	3168	2142	1618
SFV70_2	SFV70_4	243736	99518	0.964294662261765	0.938423199823148	3.33245508489586	2.78747009988762	0.043652088772846	0.0446335082571923	0.965853274834379	0.941111155770815	3.37708859315305	2.83210360814481	0.956347911227154	0.0615768001768524	0.5	4	8	2	2	2	2	4	4	4	6	8	5058	5058	5058	5058	3908	3908	3908	1648	1642
SFV70_2	SFV131_2	243736	421101	0.277048359221884	0.0140049069485016	0.324412945950973	0.0141039010130835	0.000212214836313729	0.00021223735706832	0.277201780285995	0.0142141497357797	0.324625183308042	0.0143161383701518	0.999787785163686	0.985995093051498	0.615384615384615	16	26	2	2	4	4	6	6	8	10	14	111976	111976	101358	101358	93530	93530	55517	40880	13340
SFV70_2	SFV131_3	243736	103447	0.980667256173257	0.967558266551954	3.94595504928892	3.42830961564942	0.0797079856972587	0.083064252451143	0.982208230241688	0.970144131777625	4.02901930174006	3.51137386810057	0.920292014302741	0.0324417334480459	0.5	2	4	2	2	2	2	2	2	2	4	4	5058	5058	5058	5058	5058	5058	5058	1654	1654
